X1,X2,X3,X4,X5,X6,X7,Y1
-1.03338,-0.82368,0.66681,1.28790,-0.37192,-0.68333,-1.63427,-1.49228
-0.32215,-0.23425,0.86894,-0.45120,0.30788,-0.48729,0.64186,-0.04269
0.97480,0.95172,0.95682,-0.70345,0.64779,0.58732,0.71754,0.33258
-1.10868,-0.82368,-0.95903,-0.55873,2.00741,1.16173,0.27784,1.20822
1.47685,-1.71138,1.00077,-0.45834,-0.03202,0.75997,0.36069,0.17070
-0.73215,1.24643,-0.09778,-0.63031,0.30788,1.04879,0.66013,1.59086
0.02092,-1.12195,1.50170,-0.72050,1.32760,0.35820,0.60990,0.21485
0.10459,-1.41667,1.01834,-0.43956,1.32760,0.96730,0.20804,0.16334
-0.44766,0.35873,-0.98540,-0.56142,0.64779,-1.19805,0.24587,0.21485
-0.24684,-0.23425,1.34351,-0.71618,1.66750,0.64056,0.60403,0.29579
1.51032,0.35873,-0.13293,0.80889,-0.37192,-0.69463,-1.22262,-0.91098
1.37644,1.24643,-1.19632,-0.61161,0.30788,-1.05848,0.40440,1.00955
-1.42664,-0.82368,-0.26475,0.67518,-0.71183,-0.41710,-1.22523,-1.10965
-0.56480,-1.71138,-0.42294,-0.46935,0.30788,-0.31303,0.26153,0.33258
1.10032,-0.82368,1.21169,-0.65501,1.66750,-0.02905,0.64904,-0.12363
-0.28868,1.54115,-0.97661,-0.78807,1.66750,0.42758,0.63534,1.48048
0.03765,-0.23425,-1.55664,-0.64246,-1.05173,0.46550,-0.18078,0.40617
1.05011,0.06402,1.94112,-0.36981,-0.71183,0.54375,0.09061,0.11919
-1.23419,-0.23425,-0.38779,-0.59324,0.30788,-0.90923,0.06647,0.32522
-0.79909,1.54115,1.36988,-0.70385,0.98769,0.64379,0.57924,0.10447
0.64848,-0.82368,-0.23839,-0.55578,0.98769,-0.13554,0.73581,-0.26344
0.99154,-0.23425,1.65989,-0.47206,1.32760,0.09035,0.75538,0.00882
-1.67767,-1.71138,1.47534,-0.36524,0.98769,0.83096,0.19956,0.17070
0.77399,0.06402,1.36109,-0.76326,2.00741,1.02862,0.47160,0.59748
0.65684,0.06402,1.08865,-0.29002,-0.37192,0.48889,0.20086,1.27445
-0.40582,-0.52897,-0.53719,-0.55000,0.30788,0.83419,0.59294,0.10447
-0.47276,0.35873,1.58959,-0.72439,0.98769,-0.14845,0.60859,0.77408
-1.64420,-0.23425,1.50170,-0.53838,-1.05173,0.35981,0.02341,0.25164
1.04174,0.65345,0.69317,2.72556,-1.39164,-1.67565,-2.44582,-1.64681
-0.86603,-1.41667,-1.55664,-0.69452,0.64779,-1.03670,0.33133,0.56805
-1.05011,-0.52897,1.15017,-0.56013,0.64779,-0.38403,0.40962,-0.08684
0.59827,-1.41667,-1.55664,-0.69452,0.64779,-1.03670,0.33133,0.44296
0.43092,0.95172,-1.55664,-0.62740,0.64779,0.67848,0.73189,1.86311
-0.33051,0.95172,0.92167,-0.59798,1.32760,0.40741,0.44028,0.39881
1.51869,1.24643,-0.64265,0.92660,-0.03202,-0.76320,-1.29373,-0.78588
0.13806,0.35873,-0.75690,0.25237,-1.39164,1.34406,-0.37584,0.31787
0.18827,1.54115,1.16774,0.05753,-1.39164,-1.62402,-0.15729,-1.39662
-0.21337,0.06402,-0.53719,-0.69967,1.32760,1.27952,0.51204,1.31860
0.17153,-0.82368,1.29078,-0.64956,1.32760,0.93261,0.42397,0.16334
-0.98317,1.24643,0.46468,2.27201,-1.39164,-1.71035,-2.01786,-0.93305
1.52705,0.35873,2.03779,-0.76276,1.32760,-0.11860,0.58315,2.18688
-0.36398,1.24643,-0.80963,-0.77668,0.30788,-0.18475,0.47681,1.28916
-0.49786,-1.41667,-1.27541,-0.47121,1.32760,0.09197,0.75538,0.38409
0.33051,0.95172,-0.11535,-0.55059,0.64779,-0.39613,0.61120,0.19277
-0.95807,-0.82368,0.25376,1.09930,-0.03202,-0.64138,-1.49401,-1.19059
-1.15052,-1.12195,-0.45810,-0.41402,0.30788,1.48686,0.68818,0.29579
-0.69868,0.95172,-1.55664,-0.71273,-1.39164,0.16699,-0.10836,0.55333
-0.92460,0.95172,-0.99419,-0.78807,1.66750,0.42758,0.63534,1.58350
-0.53133,1.24643,-0.36143,-0.46935,0.30788,-0.31303,0.26153,0.15598
1.30113,0.95172,-0.05383,-0.09241,-0.03202,1.58851,0.04690,0.14862
-0.91623,-0.23425,0.93925,-0.37002,-0.37192,0.68010,-0.02421,-0.24873
0.35562,-1.12195,0.02526,4.14274,-1.05173,-0.93585,-3.79689,-1.69096
-1.15889,0.95172,1.11501,-0.49157,0.64779,0.85597,0.30589,-0.13099
-1.53542,-0.23425,-0.66902,-0.63837,0.98769,0.50422,0.78604,0.72993
-1.41828,0.06402,-0.50204,0.21915,-1.05173,-1.37070,0.98240,-0.93305
-0.52296,-0.23425,-0.51083,0.21915,-1.05173,-1.37070,0.98240,-0.70494
-0.70705,0.35873,1.21169,-0.53066,-0.03202,1.04556,0.73581,-0.40325
0.17990,0.95172,-0.51083,1.65593,-1.39164,2.59132,-1.01777,0.63427
-0.20500,1.24643,-0.37021,0.84365,-0.37192,-0.48729,-1.33874,-1.05814
-1.16726,1.24643,-0.80963,-0.77668,0.30788,-0.18475,0.47681,1.38482
1.11705,0.65345,1.39624,-0.64494,-1.39164,0.30495,-0.04639,0.36202
0.31378,-0.23425,-1.13480,0.37756,-0.37192,0.25009,-1.11498,-1.19795
1.56889,1.24643,1.30836,2.42140,-1.05173,-1.09640,-2.41777,-0.97720
1.48522,-1.41667,-0.14172,2.36613,-1.39164,-2.10243,-1.95328,-1.84548
1.02501,-0.52897,-0.36143,2.46986,-1.39164,-2.43482,-1.92653,-1.38191
0.02929,1.24643,-1.09965,-0.55000,0.30788,0.83419,0.59294,1.04634
-0.68194,0.06402,-1.45997,-0.70626,0.64779,-0.26785,0.49117,0.78144
-0.50623,-1.41667,-1.55664,-0.71273,-1.39164,0.16699,-0.10836,1.04634
0.69031,0.65345,-0.33506,-0.63031,0.30788,1.04879,0.66013,0.47975
-1.00827,-1.12195,-1.39845,0.29503,-1.05173,-1.43847,1.02024,-0.80796
1.71950,-0.52897,-0.84478,-0.77668,0.30788,-0.18475,0.47681,1.06841
0.11296,0.65345,1.71262,-0.71187,1.66750,0.64541,0.60598,2.96686
1.19236,-1.41667,-0.87115,-0.77668,0.30788,-0.18475,0.47681,0.66371
1.00827,0.95172,-1.24905,-0.25904,-0.37192,0.51229,1.06656,-0.09420
1.25093,-1.12195,-0.65144,-0.69209,-1.05173,0.41467,-0.21992,0.53862
0.89950,0.35873,-1.23147,-0.40134,0.64779,0.24041,0.90412,0.26636
-0.19663,1.24643,-0.06262,2.37836,-1.39164,-2.21699,-1.92784,-1.41134
0.09623,0.95172,-0.36143,-0.46935,0.30788,-0.31303,0.26153,0.42824
0.73215,1.24643,0.76348,-0.59366,0.64779,0.85274,0.52444,0.00882
1.05848,-1.41667,-0.87115,-0.77668,0.30788,-0.18475,0.47681,0.03089
1.55216,-0.23425,2.19598,-0.50777,0.64779,0.82612,0.35091,-0.19722
-0.64848,0.95172,1.82687,-0.68782,0.98769,0.95440,0.53879,0.22221
-1.40991,-1.71138,-1.28420,-0.40134,0.64779,0.24041,0.90412,0.71522
-1.63583,0.65345,-1.00297,-0.78807,1.66750,0.42758,0.63534,1.48048
0.61501,0.35873,-1.35451,-0.71360,0.64779,-0.25978,0.48921,0.54597
-0.17990,-1.41667,1.20290,0.28828,-0.37192,0.30818,-1.04778,-1.21267
0.62337,0.65345,-1.14359,-0.55221,1.66750,0.98021,0.29480,0.50182
-0.79072,0.95172,-0.68659,0.80799,-0.37192,-0.69302,-1.22262,-1.09493
-0.23010,-0.23425,-0.32627,-0.51169,-1.05173,0.47598,-0.39541,0.33994
0.79072,-1.41667,1.78293,-0.49350,-1.39164,0.26300,0.07104,-0.16778
1.33460,-1.41667,-0.30870,0.56931,-1.05173,-1.41184,1.25118,-0.96984
1.09195,-1.12195,1.19411,-0.38318,0.30788,-0.02582,0.85780,-0.52098
-0.74888,-0.52897,-0.36143,2.46986,-1.39164,-2.43482,-1.92653,-1.83812
1.46011,0.95172,-0.85357,-0.75468,1.66750,1.12543,0.42071,0.68578
0.67358,-0.52897,0.13072,-0.49404,0.30788,-1.19240,0.42658,-0.37382
1.60236,0.95172,-0.26475,0.50239,-0.71183,-0.36789,-1.10063,-1.10229
0.76562,0.65345,-0.08899,2.37836,-1.39164,-2.21699,-1.92784,-1.56587
0.22174,0.65345,1.93233,-0.59537,1.66750,0.89792,0.38874,-0.41061
1.40991,0.35873,0.35043,0.05878,-1.39164,-0.59540,1.09266,-1.04343
0.40582,0.95172,1.21169,3.51278,-1.05173,-1.45864,-3.18235,-1.51436
-0.35562,-1.12195,-1.55664,-0.71273,-1.39164,0.16699,-0.10836,1.26709
1.23419,0.95172,-0.48446,0.21915,-1.05173,-1.37070,0.98240,-0.57985
-0.58990,-1.41667,-0.55477,-0.55000,0.30788,0.83419,0.59294,0.64899
-0.43929,1.24643,-0.07141,2.36613,-1.39164,-2.10243,-1.95328,-1.27153
-0.06276,0.95172,0.04284,-0.50155,1.32760,0.03388,0.75277,-0.46948
-0.07949,0.35873,1.46655,-0.75930,1.32760,-0.01775,0.49117,0.75201
1.66930,0.06402,-1.38966,-0.56462,0.98769,0.31463,0.45007,0.18542
-1.71114,1.54115,-0.38779,-0.41402,0.30788,1.48686,0.68818,0.68578
0.21337,-0.82368,0.82500,2.64074,-1.05173,-1.50946,-2.44582,-1.51436
-0.02092,-0.52897,0.02526,0.26254,-1.05173,-1.38845,1.01176,-0.83739
-0.76562,-0.23425,0.25376,-0.27445,-0.71183,0.95924,0.91521,0.61956
0.38909,-1.71138,1.11501,0.51699,-0.71183,-0.35418,-1.11759,-0.88890
0.95807,-0.82368,-0.07141,-0.09451,-0.03202,1.58851,0.04886,-0.02062
-1.51032,-1.71138,-1.28420,-0.55532,0.30788,0.95359,0.68818,1.34067
-0.72378,0.06402,-0.38779,-0.46935,0.30788,-0.31303,0.26153,-0.49155
0.93297,0.65345,-0.93267,-0.55873,2.00741,1.16173,0.27784,0.86974
0.14643,0.65345,1.47534,-0.60206,0.64779,0.73496,0.54401,0.59012
1.06685,-0.82368,1.07986,-0.05596,0.30788,1.69662,0.08082,-1.11701
0.58990,0.95172,0.30649,0.87360,-0.37192,-0.46874,-1.36940,-0.75645
-0.66521,0.35873,-1.22268,-0.55532,0.30788,0.95359,0.68818,1.25237
1.13379,-1.71138,-1.05570,-0.78807,1.66750,0.42758,0.63534,1.14200
-0.83256,0.65345,-0.48446,0.21915,-1.05173,-1.37070,0.98240,-0.83739
1.57726,-0.82368,0.30649,-0.45323,-0.03202,0.40096,0.33003,0.33258
-0.61501,-1.12195,0.02526,-0.56362,1.32760,1.41748,0.48660,0.11183
0.79909,1.24643,-0.10656,0.95521,-0.37192,-0.82129,-1.28981,-1.08758
-1.35971,1.54115,-1.31935,-0.43663,-0.03202,0.43726,0.93217,1.17143
1.45175,0.65345,-0.31748,-0.63031,0.30788,1.04879,0.66013,1.12728
-1.18399,0.95172,1.96748,-0.76166,1.32760,0.59055,0.64774,0.46503
-1.01664,-1.41667,-1.55664,-0.59093,1.66750,-0.04034,0.70254,0.94332
0.29704,-1.12195,-1.38087,0.78813,-0.37192,-0.44050,-1.30939,-0.33703
-0.17153,0.06402,0.28012,0.87360,-0.37192,-0.46874,-1.36940,-0.90362
-0.39745,-1.71138,-0.19445,-0.21256,-0.03202,0.79304,0.08343,-0.04269
-1.62746,-0.82368,-0.41416,-0.46935,0.30788,-0.31303,0.26153,0.09712
-1.43501,1.24643,-0.33506,2.37630,-1.39164,3.67561,-0.99168,-0.78588
-1.49358,1.24643,0.13072,-0.41759,-0.03202,0.41628,0.30067,0.66371
-0.30541,0.65345,0.55256,2.73191,-1.39164,-1.74423,-2.41907,-1.73511
-0.53970,0.95172,0.18345,-0.35165,0.30788,0.09197,0.85519,-0.03533
1.64420,-1.71138,1.15896,-0.73136,1.66750,1.16980,0.41092,0.12655
0.88276,1.54115,1.55443,-0.60714,1.66750,0.13553,0.47812,2.94479
0.12133,0.65345,-0.76569,0.25237,-1.39164,1.34406,-0.37584,0.03825
-0.93297,-0.82368,-0.85357,-0.77668,0.30788,-0.18475,0.47681,1.01691
-1.30113,-0.23425,1.19411,0.53509,-1.05173,-1.21096,1.26945,-1.27153
0.28031,-0.23425,-0.58992,0.49877,-0.71183,-0.39613,-1.08693,-0.67551
0.86603,1.54115,-0.11535,0.44393,-0.71183,-1.21741,1.19899,-0.97720
0.91623,0.35873,-0.38779,-0.66101,0.98769,-0.23961,0.62686,0.29579
-0.23847,1.24643,-0.40537,0.04803,-0.03202,1.83377,0.07821,-0.09420
-1.38481,1.24643,-0.08020,2.36613,-1.39164,-2.10243,-1.95328,-1.45549
0.96644,-0.52897,-0.42294,-0.71110,-1.05173,0.39127,-0.23166,-0.35910
-0.00418,0.35873,0.39437,-0.55873,2.00741,1.16173,0.27784,0.44296
0.63174,-0.82368,-1.38087,0.29503,-1.05173,-1.43847,1.02024,-0.91098
0.39745,-1.71138,-1.45997,-0.59806,0.30788,1.08993,0.69079,1.01691
1.56052,-0.52897,-0.07141,-0.09241,-0.03202,1.58851,0.04690,0.17070
-1.69440,-1.12195,-1.11722,-0.55000,0.30788,0.83419,0.59294,0.37673
0.41419,-1.71138,-0.27354,-0.59072,-1.05173,0.49696,-0.12076,-0.84475
1.36807,-1.41667,-0.15929,-0.63031,0.30788,1.04879,0.66013,0.30315
-0.89113,1.24643,-0.01868,-0.09451,-0.03202,1.58851,0.04886,0.01617
0.16316,-0.52897,-0.10656,2.37836,-1.39164,-2.21699,-1.92784,-1.85284
1.22583,1.24643,-1.19632,0.84365,-0.37192,-0.48729,-1.33874,-0.49155
0.05439,-0.23425,-1.01176,-0.78807,1.66750,0.42758,0.63534,1.47312
-0.29704,-0.23425,-1.24026,-0.55532,0.30788,0.95359,0.68818,1.53199
-0.90787,0.95172,-0.11535,-0.63031,0.30788,1.04879,0.66013,0.95804
0.71541,-0.23425,-0.01868,-0.54595,0.30788,-0.99152,0.04168,-0.99192
0.07112,0.65345,0.13072,-0.55544,1.32760,0.23960,0.74429,0.74465
-1.21746,1.24643,-1.09086,-0.65384,0.64779,0.55021,0.76973,1.85576
-1.33460,1.54115,1.59837,-0.35154,-0.37192,0.53246,0.24718,1.73066
-1.46011,-1.41667,1.77414,-0.47225,-1.05173,0.35981,0.07495,-0.27816
0.50623,-1.12195,1.49291,-0.47686,0.30788,0.42758,0.34373,0.22957
-0.05439,0.95172,-0.02747,-0.06991,-1.39164,-0.48245,1.03003,-0.91833
1.35134,0.95172,0.04284,-0.58150,-1.05173,0.51713,-0.14164,0.37673
-1.50195,0.35873,-0.64265,-0.64053,0.30788,-1.05687,0.37635,-0.32231
0.98317,-1.71138,-0.46689,0.49877,-0.71183,-0.39613,-1.08693,-0.49155
0.19663,1.24643,-1.20511,0.84365,-0.37192,-0.48729,-1.33874,-0.33703
0.44766,0.35873,-0.06262,0.31827,-0.03202,0.13714,-1.06735,-0.53570
0.68194,1.54115,-0.09778,-0.60305,0.64779,0.75674,0.61577,0.95804
-0.37235,-1.41667,-0.15051,2.36613,-1.39164,-2.10243,-1.95328,-1.94114
1.20909,-1.12195,-1.20511,0.86972,-0.37192,-0.46712,-1.36679,-0.69023
-0.57317,0.06402,-0.67781,-0.11219,-1.39164,0.75835,-0.60678,0.40617
-1.20909,-0.82368,-0.04505,0.86626,-0.37192,-0.48406,-1.35831,-0.75645
-0.59827,-0.82368,0.10436,-0.05922,-1.39164,-0.44050,1.05351,-1.26417
-0.65684,-0.23425,2.07294,-0.76067,0.64779,-0.18475,0.45855,1.67180
-1.66093,1.24643,1.22926,3.51278,-1.05173,-1.45864,-3.18235,-1.41134
-1.19236,0.65345,-0.01868,-0.06991,-1.39164,-0.48245,1.03003,-0.93305
0.78235,-0.23425,-1.33693,-0.73588,-0.03202,-0.16701,0.42789,-0.07948
-1.61073,1.24643,-0.39658,0.06422,-0.03202,1.81763,0.04560,-0.27080
-0.42255,1.54115,1.14138,0.14346,-1.39164,-1.62967,-0.24928,-1.44813
-1.39318,-0.52897,-0.36143,2.37836,-1.39164,-2.21699,-1.92784,-1.62473
1.44338,0.65345,-1.55664,-0.62740,0.64779,0.67848,0.73189,2.33405
1.07521,1.54115,0.84258,-0.59201,0.64779,-0.38080,0.47420,-0.10892
0.07949,0.35873,1.76535,-0.39105,-1.05173,0.20169,0.14541,0.12655
0.60664,0.95172,-1.32814,0.37313,-0.37192,0.09923,-1.10519,-0.50627
1.25930,0.95172,-1.55664,-0.59093,1.66750,-0.04034,0.70254,0.50918
0.24684,0.06402,-1.24026,-0.56327,2.00741,1.14479,0.27980,1.76010
0.00418,-0.23425,1.82687,-0.33224,-0.37192,0.48405,0.23217,-0.27816
0.04602,0.65345,-0.00989,0.57258,-0.71183,1.42716,-0.81228,-0.50627
0.74052,0.06402,0.04284,0.86920,-0.37192,-0.48729,-1.35962,-1.19059
1.42664,0.65345,-1.21389,-0.82043,1.32760,-0.86082,0.27393,1.38482
0.37235,-0.82368,1.22926,0.05995,-1.39164,-1.56755,-0.20753,-1.77926
1.65257,0.65345,-0.11535,-0.63031,0.30788,1.04879,0.66013,0.23692
1.43501,0.65345,1.72141,-0.39347,1.32760,0.14037,0.84671,-0.04269
0.80746,1.24643,1.80929,-0.51101,-1.39164,0.20814,0.05669,0.03089
0.52296,-0.52897,-0.00989,-0.19528,-1.39164,-0.45905,0.93348,-1.10229
-0.04602,0.95172,-0.40537,-0.41402,0.30788,1.48686,0.68818,0.58277
-0.38072,0.95172,0.13072,-0.37085,-0.37192,0.66154,0.28110,0.11919
-1.36807,-1.41667,1.46655,-0.45304,0.64779,1.48847,0.62947,-0.28552
0.08786,-0.82368,0.90409,-0.56423,0.64779,0.75432,0.51074,0.20749
-0.13806,1.24643,1.54564,-0.37071,1.32760,0.84064,0.19956,0.31787
0.85766,0.35873,1.10623,0.14346,-1.39164,-1.62967,-0.24928,-1.38927
0.43929,-0.23425,-0.00110,-0.19528,-1.39164,-0.45905,0.93348,-0.67551
-0.84929,-1.12195,-1.55664,-0.62740,0.64779,0.67848,0.73189,2.42971
-1.28440,-0.23425,-0.38779,-0.46935,0.30788,-0.31303,0.26153,0.06768
-1.71950,-0.82368,0.15709,-0.61661,1.66750,0.91244,0.40114,0.31051
-1.31787,-1.71138,1.02713,2.71816,-1.05173,-1.59578,-2.47518,-1.82341
-1.05848,1.24643,-0.51962,-0.43663,-0.03202,0.43726,0.93217,0.17070
-0.01255,-0.23425,-0.43173,0.29021,-0.37192,0.31141,-1.04909,-1.22002
-1.44338,-1.41667,-0.20324,-0.69691,0.98769,1.22305,0.59163,1.25973
0.47276,0.95172,-1.21389,0.84365,-0.37192,-0.48729,-1.33874,-0.46212
-0.96644,0.35873,-0.75690,0.25237,-1.39164,1.34406,-0.37584,0.38409
1.10868,0.65345,-1.40724,-0.59806,0.30788,1.08993,0.69079,0.91389
-1.29277,1.54115,1.26442,0.28137,-0.37192,0.41628,-1.03474,-0.80796
1.15889,-1.71138,-1.55664,-0.71273,-1.39164,0.16699,-0.10836,-0.00590
0.48113,0.06402,1.30836,-0.46822,0.98769,0.05243,0.77364,0.19277
0.28868,1.24643,-0.35264,-0.66101,0.98769,-0.23961,0.62686,0.25164
-1.61910,-1.71138,0.23618,1.09930,-0.03202,-0.64138,-1.49401,-1.04343
0.90787,-0.23425,-0.18566,0.53350,-0.71183,1.14318,-0.99429,-0.78588
-0.99154,-0.82368,-0.77448,0.25587,-1.39164,1.34729,-0.37714,0.73729
0.55643,0.95172,-0.39658,-0.72487,-1.05173,0.37756,-0.22971,-0.63872
-0.33888,0.95172,-1.55664,-0.62740,0.64779,0.67848,0.73189,2.62102
1.01664,-1.12195,-0.15929,0.32828,-0.37192,0.08067,-1.06996,-1.05814
1.67767,-0.52897,-1.09965,1.05118,-1.39164,-1.12786,1.71437,-1.15380
-0.60664,-1.71138,1.37867,-0.71151,0.64779,-0.24123,0.57076,0.31051
0.83256,1.24643,-0.29112,-0.72499,-1.05173,0.37595,-0.23297,0.89917
1.59399,0.95172,-0.40537,0.06422,-0.03202,1.81763,0.04560,-0.42533
0.94133,0.35873,1.48413,-0.64352,0.30788,-1.08188,0.34960,-0.81532
0.30541,0.95172,1.32594,-0.69786,1.32760,1.07541,0.38287,0.75201
-1.27603,-0.23425,-0.14172,-0.63031,0.30788,1.04879,0.66013,1.00955
1.30950,1.24643,1.28199,-0.77261,2.00741,1.03185,0.48921,0.73729
-1.30950,0.95172,0.35043,-0.45323,-0.03202,0.40096,0.33003,0.45767
-0.27194,0.95172,-1.17874,-0.51710,0.98769,0.92535,0.28828,0.53126
-0.14643,-0.82368,-0.12414,2.36613,-1.39164,-2.10243,-1.95328,-1.28625
1.71114,0.35873,0.09557,-0.54968,0.98769,0.82289,0.42397,0.19277
-0.16316,-0.52897,-0.77448,1.58204,-1.39164,-1.16094,2.14689,-1.17587
-0.31378,0.95172,-0.81842,0.69709,-1.05173,-1.15771,1.39927,-1.06550
-1.24256,1.24643,1.10623,2.71816,-1.05173,-1.59578,-2.47518,-1.13172
-1.32624,0.95172,0.57014,2.79383,-1.39164,-1.79022,-2.45169,-1.80869
1.15052,1.24643,1.48413,1.58758,-1.39164,2.33719,-1.16521,0.23692
0.23847,-1.41667,-0.42294,-0.66101,0.98769,-0.23961,0.62686,0.09712
0.38072,-1.12195,-1.03813,-0.78807,1.66750,0.42758,0.63534,1.08313
-1.55216,0.95172,-0.63386,-0.63837,0.98769,0.50422,0.78604,1.00219
0.89113,0.65345,-0.82721,-0.77668,0.30788,-0.18475,0.47681,0.35466
-0.38909,-0.82368,-1.24905,-0.82043,1.32760,-0.86082,0.27393,1.45841
0.58154,-0.52897,0.12193,-0.49404,0.30788,-1.19240,0.42658,-0.29288
-0.12970,0.06402,-0.39658,-0.26481,-0.71183,0.37756,1.05351,-0.01326
1.49358,-0.52897,0.05163,-0.79408,2.00741,1.12704,0.45007,0.63427
0.72378,-1.71138,-0.44931,-0.55578,0.98769,-0.13554,0.73581,0.33258
1.14215,-0.52897,1.38745,-0.41298,1.32760,1.06492,0.17020,0.63427
0.42255,0.35873,-0.03626,-0.50750,-1.05173,0.48244,-0.39541,0.43560
0.84929,0.95172,-0.11535,-0.63031,0.30788,1.04879,0.66013,1.10521
-0.48113,-1.71138,1.51049,-0.71747,1.32760,0.35981,0.59294,0.12655
-0.64011,0.35873,1.04471,-0.43500,1.32760,0.95924,0.20673,-0.03533
-0.46439,1.24643,-1.12601,-0.55221,1.66750,0.98021,0.29480,0.49447
1.27603,1.24643,-1.06449,1.05118,-1.39164,-1.12786,1.71437,-0.97720
